SN,ifname,con_name,ip_address,subnet,gateway,dns
F30126E001,enp3s0,LAN1,192.168.1.100,255.255.255.0,,
F30126E001,enp4s0,LAN2,192.168.2.100,255.255.255.0,,
F30126E001,enp1s0f3,LAN3,192.168.3.100,255.255.255.0,,
F30126E001,enp1s0f2,LAN4,192.168.4.100,255.255.255.0,,
F30126E001,enp1s0f1,LAN5,192.168.5.100,255.255.255.0,,
F30126E001,enp1s0f0,LAN6,192.168.6.100,255.255.255.0,,
F30126E002,enp3s0,LAN1,192.168.1.101,255.255.255.0,,
F30126E002,enp4s0,LAN2,192.168.2.101,255.255.255.0,,
F30126E002,enp1s0f3,LAN3,192.168.3.101,255.255.255.0,,
F30126E002,enp1s0f2,LAN4,192.168.4.101,255.255.255.0,,
F30126E002,enp1s0f1,LAN5,192.168.5.101,255.255.255.0,,
F30126E002,enp1s0f0,LAN6,192.168.6.101,255.255.255.0,,
F30126E003,enp3s0,LAN1,192.168.1.102,255.255.255.0,,
F30126E003,enp4s0,LAN2,192.168.2.102,255.255.255.0,,
F30126E003,enp1s0f3,LAN3,192.168.3.102,255.255.255.0,,
F30126E003,enp1s0f2,LAN4,192.168.4.102,255.255.255.0,,
F30126E003,enp1s0f1,LAN5,192.168.5.102,255.255.255.0,,
F30126E003,enp1s0f0,LAN6,192.168.5.102,255.255.255.0,,
